,text,labels
0,  look at what you just said lls new era girl bye kill bitches w kindness ampamp wht cousin,offensive
1,driving the fucktardmobile  tranny slips and all   httptco8e3kxegmjo,offensive
2, if i ever put ma trust ina bitch  i will always be hurt   ,offensive
3,stop twatching me bitch,offensive
4,      you know bitches be mad when they be like i am my own  ,offensive
5,u got a twin bed yo bitch ass better not invite her over to yo crib u better off sleeping on a futon my boy,offensive
6,    dc fri 13 bengali harlem amp lost histories south asian am readingconvo   14th st cc     ,non_offensive
7,only get loud around ya team ass bitch   ,offensive
8,    this bitch does so begrudgingly as fuck was likeman up you a big bad man crying like a bitch,offensive
9,breakfast of champions shrimp lobster balls no sandusky french fries nd a nice big quahog clam for  httptcouajukcoafv,non_offensive
10,one night stand you all hoes you all aint nothing more,offensive
11,my reaction when a spoiled white kid says nigga like they a thug     httptcofzvwc7askw,offensive
12,    i swear a yung nigga use to wanna be a heartbreak kid     shawn micheals amp razor ramon both had bitches,offensive
13,  bitch im 57 12 smd hoe,offensive
14,    lame dude anyway   bitch bye       dawg look at this shit httptcofu4dbqeotn,offensive
15,all the bitches in shameless are straight bugoutsss,offensive
16,        shit nigga do not complain now you got room for hella nudes from hoes  trueeee i will hy ,offensive
17,cause all my life i was told and taught i am not shit by you wack fucking giant sacks of lying dog shit now you shut up bitch,offensive
18,word to ray rice     if i marry you aint gone be no divorces bitch only way outta this is in a box or in handcuffs ,offensive
19,i been fucked that hoe she a nobody,offensive
20,  thanks ya fucking hoser,offensive
21,i get more nudes than all you bitches  ,offensive
22,  you would not last a day there hoe,offensive
23,  rate my hoe  ,offensive
24,  but no joke i will say no it is not an oleander and wife will say son of a bitch ron yes the hell it is get out your book,offensive
25,      when you are trying to relax but your pussy is shooting out light beams httptco5ehbmr8tko,offensive
26,also it  a hiccup to jihadi propaganda they portray themselves as the only ones willing to die for their cause,non_offensive
27,    females will mess with a guy who has a girlfriend but will not mess with a single guy cause he has too many hoes,offensive
28,just started my upgrade for the level 2 dark elixer drill 1500000 elixer that was a bitch to get,offensive
29,  haahaa dumb bitch,offensive
30,        the xbox one would be so much cooler if they put a bird on it,non_offensive
31,  bitch i know you seen me tweet bout you,offensive
32,22 talented drivers     i am really glad there have not been any yellows but why have not there been any yellows,non_offensive
33,  now i am chewy high with a hard ass dick ooh there goes my pager could it be a trick bitch,offensive
34,    bitch you a hoe check yo dms   can i get a new follower   httptcomv4mkhea1g ,offensive
35,i spent my whole 4th lookin for my hoes missed the fireworks and all before i realized i did not have any hoes  ,offensive
36,  but you were too busy being a raging bitch and not caring that your best friend was going through hell so there is my punch  ,offensive
37,    too pussy or what,offensive
38,got a iphone for business but the sidekick is for the bitches  ,offensive
39,    how original you faggots ,offensive
40,1 more day bitches,offensive
41,my bitch say i am in the dog house fuck you mean,offensive
42,   holy shit freddie highmore was in charlie and the chocolate factoryme rolls on the floor laughing,offensive
43,brag to you about the hoes he hittin and when you ask for a pic he show you some sorry ass female then all you can do is laugh,offensive
44,phaedra is gonna drop apollo like mariah did when da brat went to prison these hoes aint loyal,offensive
45,cannot stand when i see a female just get out of relationship amp 2 days later their talking to another guy  hoes gonna be hoes smh,offensive
46,always thought golden oreos were the same as original oreos but oh my god i just climaxed,non_offensive
47,i think women will forever find a way for a guy to be thirsty tho just so they can feel like thier pussy has some value it do not,offensive
48,and by yall i mean whoever running back telling tunchi wtf i am doing that is not my nigga dog niggas nd bitches  ,offensive
49,  not one single bone in my body gives a fuck about what the next bitch thinks  ,offensive
50,    lmao dis bitch dumb asl httptcoo0rraj8vij,offensive
51,this nigga solving rubik cubes doing magic tricks amp he still aint getting no pussy  ,offensive
52,      when the trash bag is so full  you can barely tie it  httptcootzfiqmwi0  sttooopp ,non_offensive
53, bitch caught a body about a week ago  fuck with us and we get to tweekin hoe  run up on that niggah get to httptcoav9ypjtwxn,offensive
54,  thought retard,offensive
55,i remember laying on a hospital bed after being shot ranting about how coconut shrimp was trash,non_offensive
56,  id break that little bitches finger,offensive
57,    bill maher mocks gullible america for missing the real enemy httptcoapnsvg35uf,non_offensive
58,houston has so many trash drivers,non_offensive
59,  niggah lol i had 6 beers before i went to the bar then had 4 beers at the bar then got a 12pck on the way home lool,offensive
60,i am a celestial body hello httptcoykdrm9ax69,non_offensive
61,  the slopes are not for us bro hahaha,non_offensive
62,          how ghetto girls pronounce there names i could cry right now oh my god httpstcozycuodiwkz ,offensive
63,    oh you mean like how you started to be a cunt to jp about something that has nothing to do with you,offensive
64,it stink in this bitch it must be them pussy ass niggas talkin shit,offensive
65,i am sick of you hoes for real i got somebody that looks up to me so i aint bout no pussy shit,offensive
66,just straight ignorant bitches  ,offensive
67,    one mans trash is another mans treasureperfectly explains strippers with daddy issues,non_offensive
68,my little sisters kik name is thot ass thotwhy all my sister have to be freak hoes,offensive
69,    go talk to your other hoes httptco1h08fxpkkq,offensive
70,i think its funny how hoes talk bout being faithful,offensive
71,    and if you aint a hoe get up out my traphouseeee httptcogfohputvhp,offensive
72,    eat mangos get bitchesto be honest i do not do either of these ,offensive
73,dress shirt saggy jeans backwards yankee hat now that is lifting swag,non_offensive
74,    if i can eat some random bitches ass i can eat iggys ass      ,offensive
75,should i tell this hoe who she look like cdfuuu,offensive
76,    when u go through baes phone amp there is no hoes on there httptcocyejv5l608,offensive
77,i am not defending ray rice but that double standard is a bitch aint it httptcoplkfb3lnem,offensive
78,damn girl i will be your porch monkey,offensive
79,    yea bitch ,offensive
80,  not only that after he pushed him he stepped back lolol that was some pussy shit,offensive
81,  rico be bored then a bitch  boy you watch me more than these hoes do,offensive
82,well i want to be victorias secret dyke angel ,offensive
83,yo daddy is a bitch you jus a son of that boyyy,offensive
84, i just feel like my mouthpiece so cold   i will give lessons to every niggah that ever got turned down  for the low cost of 2499   hmu ,offensive
85,    mike napoli is the toughest son of a bitch i have ever known,offensive
86,    you sure do have a pretty face for a cripple,non_offensive
87,  viva brazil niggah lol,offensive
88,  yes why protest about sexism then go right home and beg for a guy to beat your pussy up im lost at times,offensive
89,my niggah my niggah,offensive
90,my roommate is eating so obnoxiously i wanna fucking slit his throat,offensive
91,when i see a super bad bitch and she happen to be from my city i just feel the need to shoot my shot,offensive
92,  and smoke weed in public fuck cops man do what you wanna do they do not own you run if they come are you retarded,offensive
93,  nah i would never ask a guy to ride down on a chick what is the use of getting him in trouble for a trashass bitch,offensive
94,    ladies if your pussy sounds like this please hit my dms i need you for a science project   httpstcoxr0hgold5m,offensive
95,once you hate someone everything they do is offensive look at this bitch eating those crackers like she own the damn place,offensive
96,300 bitch we hot we done took flight ,offensive
97,if anyone reviews a 5 game loan player you are a cunt shouldnt be doing 5 game reviews especially at the start of fifa,offensive
98,    and retarded,offensive
99,  so much hoes,offensive
100,  my precious gook baby     httptco2qjljj6tk5,non_offensive
101,    whens homecoming ho  slut the 17th,offensive
102,    morgan park kids like to pop fire crackers in the school now,non_offensive
103,    can someone show hailie this tweet   bitch blocked me   httpstcovlpr7tmcas,offensive
104,  i am talkin bout sluts and hoes in general,offensive
105,    do not be a pussy grab the booty love the booty appreciate the booty,offensive
106,    this bitch is fucking insane   2 what is a sentence that describes you in 5 words ,offensive
107,    james nobody save a couple illiterate inbred teabagger morons gives a flying fuck about your revelations,offensive
108,i like weed brownies and cookies im straight but seein crooked got muh trippy kit hope i trip and fal into some pussy  ,offensive
109,  i said something to you gorilla stop listening to monkey music,offensive
110,why is my mother bothering me about the trash it is my day off leave me alone and stop nagging,non_offensive
111,this lit bitch jayonna in the class im an aide in is sooo funny,offensive
112,  haha not you just getting shit from everyone else when my second favorite team is the redlegs,offensive
113,crank up a little hank sit on the hood and drink i am about to get my redneck on,offensive
114,      i just do not wanna get looked at funny when i say nigger in public,offensive
115,pollos a lastdos pollos estaban dando vueltas en una poller  mientras los estaban cocinando a last cuando httptcofxeeajmyfz,non_offensive
116,    when gay girls suck pussy from a bitch who just took a plan b pill the other day that means the munching hoe ate plans ,offensive
117,these bitches is crazy,offensive
118,big gday so to     nicca lol,offensive
119,    no the fuck u cannot dumb bitch matter of fact go get nigga hoe cuz u not going be shit,offensive
120,  bitch slap that assholewith a chair,offensive
121,    this is a true ride or die bitch   httptcoy1t8ctqn4u,offensive
122,been a while since it is just been me solo at the crib feeling kinda lonely like a hoe,offensive
123,niggas get a fresh cut snapback to match the shoes and shirtand do not even say waddup to the pretty bitch next to em in da bus,offensive
124,      cutie lesbian teens toy slits httptcozs05enjjwm,non_offensive
125,funny thing isit is not just the people doing it it is the people who seeing these pics and judging the birds just as wrong,non_offensive
126,  brah wiz cheated   httptcooz2pndngj0  she had hair like a dyke uh duh,non_offensive
127,      because they are all fucking two years old acting like i will not mind being tagged bitch i will violate you,offensive
128,    faggot,offensive
129,  jayz and bey they will never bejus trash,non_offensive
130,  cuz i was gunna smoke u out today u a bitch tho,offensive
131,  and im beautiful bitch,offensive
132,    quan helps everyone out with random questions and computer stuff but no one can oop him grs something aint right abo ,non_offensive
133,you out there popping them pills fucking them stank hoes keep it real you aint really bout your bank roll you are satisfied,offensive
134,stupid bitch,offensive
135,  i fucking hate you lmao but thank you little dick van dyke,offensive
136,    the sound of wet pussy   gtgt,offensive
137,    your ipad raised your kid to be a giant pussy good job,offensive
138,    some of you fellas should dress up as real men for halloween because you have been actin like bitches all year long merica,offensive
139,it aint nunn to cut that bitch off ,offensive
140,  niggas talk more then bitches these days    ,offensive
141,    happy 17th birthday to my main hoe and partner in crime      ,offensive
142,molly make bitches crazy,offensive
143,niggah hurry up,offensive
144,thought i told you not to trust these hoes,offensive
145,    bad bitches is the only thing that i like,offensive
146,    mane the skinny bitches was playin lol i had too take my weight class too another level   ,offensive
147,i never put no hoes b4 my bros,offensive
148,  fuck no she dont let nobody hit that pussy either i know it is firm,offensive
149,      your a early bird,non_offensive
150,if anyone wants to bring me a sweet tea to my party that would make my bday perfect well that and cracker barrel  ,non_offensive
151,    if your girl did not camp out overnight to buy you the iphone 6 your pee pee is trash,non_offensive
152,  i read a black man tweet hot sauce is trash amp watermelon is overrated i cannot deal,non_offensive
153,taking pics i am the school bathroom is fucking stupid  ,offensive
154,  article is flawed took my first chp with brpd was well done even had 2 ghetto gals with a jammy hipurnt 9 but well done,offensive
155,    the thing about houston and austin gays is 99 are hoes aint no wholesome bitches,offensive
156,    when you make a joke and someone you hate laughs and you are thinking no bitch you are not allowed to laugh,offensive
157,    mass gop govelect charlie baker no drivers licenses for illegal aliens gt httptco3vklymjwjs  ,non_offensive
158,    these niggas must be deaf when is the last time you heard a roots song on the radio quest do not get bitches,offensive
159,i would never hit a woman but i would slap a hoe,offensive
160,broner would still knock half u niccas out,offensive
161,the john cantlie video issued by al furqan media is a new level of the jihadi propaganda promises more episodes amp wages ideological warfare,non_offensive
162,these judges gon try amp hoe floyd if he do not show out this last round,offensive
163,not the type to take it slow turn a good girl into a hoe  ,offensive
164,fuck niggah add it upgtgtgt,offensive
165,    my girlfriend cheated on me so i dumped her i am dating her mom now so now that bitch is my step daughter  texas tec ,offensive
166,    the day i have clear skin will be the day i am the happiest cockiest bitch alive,offensive
167,fuck a opp thot we will shoot a bitch,offensive
168, just was old to me  a lil proton feel me  some bitches that is gon feel me  some niggahs that will not kill me ,offensive
169,    waka gone kill dat hoe lol,offensive
170,i luv watching gas monkey they be havin some classics on there,non_offensive
171,fuck this bitch idc  ,offensive
172,    heyhoe di doedat is funny if its da girl,offensive
173,    she need a man not no pussy boy,offensive
174,  bitch i was out dea and your ass was sleep,offensive
175,nappy chin hairs bitch i am mothafuckin q,offensive
176,i could go for a brownie right now,non_offensive
177,this nigga think he gone play me shoot dice let yo hoe fade me,offensive
178,      dawg   pet peeve is finding out a cute guy has hoes i automatically lose interest i do not compete ,offensive
179,when lifes got ya down you just gotta get back up and pimp slap that hoe,offensive
180,bout to make some brownies in a few,non_offensive
181,    hey i do not always go there sometimes these three crazy bitches and one suave mfer trick me into going with them,offensive
182,    a lot of ppl look at me like who the fuck does this bitch think she is ms goldschmied to you,offensive
183,i was gone for 2 days do not her bitch ass miss me,offensive
184,    all the kickers in college football trash like you all cannot even make 20 yard field goalsu got one fucking job,offensive
185,type of nicca owe yu money but still ask you to go n on a blunt,offensive
186,    9 10 now you are having my twins     7 8 get that pussy ate       you   httptcowwsinej ,offensive
187,not trash just plain as fuck for 225 and come on no elephant print on a 3,offensive
188,forte just trucked dude hoe ass lol,offensive
189,    why do people have a problem with gay people know what fuck it i got a problem with you straight hoes now what,offensive
190,you all really risk ur lives weaving in amp out of traffic traveling thru two counties for some pussy,offensive
191,hahaha i see you niggah  ,offensive
192,    i bet he would have gone ape shit and killed them all if they attacked muslims,offensive
193,    bitch i am not concerned about you,offensive
194,red bitch with me dark skin friend callin talkin bout come and get me,offensive
195,this lil fraudulent bitch had the nerve to call my phone talking crazy bout how she get down nd puts  httptcozuxdnp3xr1,offensive
196,first thing she wit ya next minute she against ya like that hoe from the clippers,offensive
197,ive got the best friends a functioning retard could have,offensive
198,awwwwww they no kaep aint rape no bitch,offensive
199,is the bitch in the new transformers hot,offensive
200,tell me why nick cannon bout to invite wiz to wildn out an hit him wit the i fucked your bitch diss haha,offensive
